id 	,numSat 	,sumFlags 	,mass 	,centralMass 	,centralFlag 	,centralRband 	,firstSatMass 	,firstSatFlag 	,firstSatRband 
1263675 	,8 	,8 	,5.33e+14 	,8.85e+12 	,True 	,-2.7e+01 	,9.43e+09 	,True 	,-2e+01 
12109947 	,344 	,344 	,8.98e+14 	,4.96e+12 	,True 	,-2.6e+01 	,7.24e+11 	,True 	,-2.4e+01 
12109948 	,19 	,19 	,1.18e+14 	,1.56e+12 	,True 	,-2.5e+01 	,4.73e+10 	,True 	,-2.1e+01 
12109950 	,31 	,31 	,7.14e+14 	,1.25e+13 	,True 	,-2.7e+01 	,8.56e+10 	,True 	,-2.2e+01 
12169414 	,250 	,250 	,6.43e+14 	,3.88e+12 	,True 	,-2.6e+01 	,1.22e+12 	,True 	,-2.4e+01 
12169416 	,30 	,30 	,1.16e+14 	,1.04e+12 	,True 	,-2.4e+01 	,2.68e+11 	,True 	,-2.3e+01 
12224103 	,403 	,403 	,1.01e+15 	,3.61e+12 	,True 	,-2.6e+01 	,1.81e+12 	,True 	,-2.5e+01 
12224104 	,55 	,55 	,2.54e+14 	,3.32e+12 	,True 	,-2.5e+01 	,1.05e+11 	,True 	,-2.2e+01 
12224105 	,17 	,17 	,1.07e+14 	,2.52e+12 	,True 	,-2.5e+01 	,1.76e+10 	,True 	,-2e+01 
12224109 	,24 	,24 	,1.10e+14 	,2.55e+12 	,True 	,-2.5e+01 	,6.36e+10 	,True 	,-2.1e+01 
12274768 	,367 	,367 	,9.13e+14 	,4.89e+12 	,True 	,-2.6e+01 	,1.71e+12 	,True 	,-2.5e+01 
12274769 	,23 	,23 	,1.24e+14 	,3.95e+12 	,True 	,-2.6e+01 	,1.00e+11 	,True 	,-2.2e+01 
12334208 	,304 	,304 	,9.76e+14 	,7.57e+12 	,True 	,-2.7e+01 	,5.03e+11 	,True 	,-2.3e+01 
12334209 	,22 	,22 	,2.16e+14 	,3.51e+12 	,True 	,-2.5e+01 	,1.32e+10 	,True 	,-2e+01 
12381782 	,404 	,404 	,1.04e+15 	,5.46e+12 	,True 	,-2.6e+01 	,1.33e+12 	,True 	,-2.4e+01 
12381783 	,22 	,22 	,1.14e+14 	,1.39e+12 	,True 	,-2.5e+01 	,8.12e+10 	,True 	,-2.1e+01 
12381789 	,5 	,5 	,1.15e+15 	,3.36e+12 	,True 	,-2.5e+01 	,6.81e+10 	,True 	,-2.2e+01 
12432056 	,298 	,298 	,8.21e+14 	,4.05e+12 	,True 	,-2.6e+01 	,1.86e+12 	,True 	,-2.5e+01 
12432057 	,62 	,62 	,1.76e+14 	,1.93e+12 	,True 	,-2.5e+01 	,5.58e+10 	,True 	,-2.1e+01 
12432058 	,36 	,36 	,1.13e+14 	,1.50e+12 	,True 	,-2.5e+01 	,8.60e+10 	,True 	,-2.2e+01 
12485362 	,345 	,345 	,9.46e+14 	,8.08e+12 	,True 	,-2.7e+01 	,1.39e+12 	,True 	,-2.5e+01 
12485363 	,15 	,15 	,1.06e+14 	,1.92e+12 	,True 	,-2.5e+01 	,1.03e+11 	,True 	,-2.2e+01 
